query: What problems and concerns are there in making up descriptive titles?  
What difficulties are involved in automatically retrieving articles from 
approximate titles?  
What is the usual relevance of the content of articles to their titles?

Document_ID Similarity
2 1.5942028013413334
4 2.601071768495784
7 1.0215627320724867
9 1.2253390057526932
12 0.2651190444625813
14 2.2386799612698574
15 1.0215627320724867
16 1.2253390057526932
17 3.25268101481327
18 1.0215627320724867
19 2.946037197747372
23 1.7206981919946789
22 0.2651190444625813
25 3.7070000375488545
30 2.3292046646452693
27 2.5037990057324384
32 2.601071768495784
39 0.3010022650606039
41 1.0215627320724867
46 4.769602933127743
47 3.3866506173157784
51 1.0215627320724867
50 2.946037197747372
58 1.9244744656748853
56 3.662683461575803
62 0.2651190444625813
64 0.32646181524495604
69 6.974096490665989
61 1.3290837568787521
66 1.0215627320724867
70 1.3290837568787521
75 2.685437305476368
71 2.9505563499389496
79 2.2678618938628943
query: How can actually pertinent data, as opposed to references or entire articles 
themselves, be retrieved automatically in response to information requests?

Document_ID Similarity
1 1.0361659194686623
2 3.0700483764806714
7 1.0215627320724867
8 0.8323896457884558
10 1.2897295455815758
12 0.9049118613558191
13 0.6397928168932379
16 2.701184580892031
19 0.8435690905734443
22 0.2651190444625813
23 2.7655751207209134
24 1.1421534876085144
25 3.0856483522551743
27 2.18523840668682
30 0.2651190444625813
33 0.6397928168932379
35 2.601071768495784
37 0.6397928168932379
39 0.9407950819538418
41 2.1637162196810014
44 1.2897295455815758
47 0.3010022650606039
51 0.6397928168932379
53 2.4318830331900902
57 1.1421534876085144
61 1.3290837568787521
62 1.4072725320710957
63 0.9450515684499667
64 2.92753358374074
68 3.469732413303856
69 2.973780969233795
70 1.96887657377199
71 3.161594310433725
75 2.064085620182688
77 1.2897295455815758
78 0.8435690905734443
80 1.4859759470309066
query: What is information science?  Give definitions where possible.

Document_ID Similarity
10 3.0930654024506516
3 0.9063125707418561
21 1.0289797822679638
26 3.662683461575803
40 0.6966115875593776
43 1.1160135539243345
45 3.5917498762182243
46 1.0289797822679638
57 0.9063125707418561
60 4.2131015615119045
67 0.9063125707418561
72 0.6966115875593776
74 0.6966115875593776
query: Image recognition and any other methods of automatically                
transforming printed text into computer-ready form.

Document_ID Similarity
2 2.02569534443813
4 0.6966115875593776
7 1.0215627320724867
15 1.6366047816850176
16 2.4974083072118245
18 1.0215627320724867
19 2.1637162196810014
20 1.0215627320724867
22 0.6966115875593776
25 2.4974083072118245
29 11.860064930935618
30 1.0289797822679638
31 1.0215627320724867
34 0.6966115875593776
36 1.0215627320724867
41 3.2041502666627713
44 3.52910141117588
42 1.1421534876085144
51 1.0215627320724867
54 1.0215627320724867
56 1.0215627320724867
57 1.9201193622242385
58 3.194019894771202
61 1.3290837568787521
69 1.0215627320724867
70 5.111343696693305
73 0.6966115875593776
75 5.333970612069487
77 4.767079060764928
78 1.838765075167892
81 2.1637162196810014
82 4.128171240365376
query: What special training will ordinary researchers and businessmen need for proper
information management and unobstructed use of information retrieval systems?
What problems are they likely to encounter?

Document_ID Similarity
1 0.7284836523318202
2 0.6684205674100434
3 1.693031068529038
5 1.6779768250957063
6 1.4935058192617823
7 0.4033015229474622
9 1.2253390057526932
11 0.7284836523318202
12 1.554848590044157
15 1.0215627320724867
17 0.6070777966276687
18 1.0215627320724867
20 1.8144369242331897
21 2.783235364843358
19 1.2253390057526932
22 0.2651190444625813
26 2.2678618938628943
25 0.4033015229474622
27 0.2651190444625813
30 0.2651190444625813
32 0.4033015229474622
39 2.365087885243292
43 0.6070777966276687
45 2.5794590911631516
46 2.064085620182688
47 2.6122945427146664
50 1.6286405287001555
51 5.0875477165957514
52 0.5957252516065061
59 1.6779768250957063
64 0.32646181524495604
66 1.5462701107241004
62 0.2651190444625813
65 0.4033015229474622
69 0.2651190444625813
70 0.5247073786516138
72 1.6779768250957063
71 0.2651190444625813
79 0.6070777966276687
77 0.4033015229474622
82 0.4033015229474622
query: What possibilities are there for verbal communication between computers and 
humans, that is, communication via the spoken word?

Document_ID Similarity
4 1.4859759470309066
15 1.6366047816850176
17 2.064085620182688
18 2.064085620182688
